2 1:14.3529040413 2:5.0930291566 3:0.767792474974 4:1.07437541104 5:1.03932649984 6:0.443639648862 7:0.452855209981 8:0.273062319749 9:-0.757746364409 10:-0.440003677376 11:0.660916815354 12:0.238974890271 13:0.283828909713 14:0.127568125451 15:0.104704278097 16:0.122902670979 17:-0.199000641032
2 1:10.7693886064 2:13.0301910145 3:0.840358978128 4:2.17293688974 5:1.03275734178 6:0.629276980193 7:0.293731756873 8:0.254065588476 9:0.0366585516167 10:0.0593276074651 11:0.049022482869 12:0.139417964659 13:0.119598814006 14:0.019290128769 15:0.0845796180931 16:0.0786064476669 17:-0.0220304776951
2 1:30.6728503291 2:6.73237449484 3:0.78681820658 4:0.741836165221 5:0.662413040634 6:0.211477231319 7:0.151865060864 8:0.15408457853 9:-0.927838332566 10:0.173756695047 11:0.251695424322 12:0.915731802652 13:0.578018566439 14:0.0429444374376 15:0.282944037059 16:0.373678860359 17:0.0561882470079
2 1:8.29692208837 2:3.78465035095 3:0.768913160599 4:0.754736553478 5:0.887231971029 6:0.345823796641 7:0.352337436425 8:0.270150379835 9:-0.0985016233021 10:0.614881282919 11:-0.357278096053 12:0.209640021663 13:0.142532145753 14:0.133535273534 15:0.0939184491693 16:0.0896529560683 17:-0.115531801296
2 1:15.6347189824 2:8.82559375806 3:0.756310784596 4:0.425809631548 5:1.45090947083 6:0.921433150326 7:0.284691727598 8:0.357113425075 9:-0.114568199228 10:-0.103104595997 11:0.0552732066129 12:0.245030188623 13:0.245068813612 14:-0.0959852318916 15:0.122732956135 16:0.123997896509 17:0.0248389043311
2 1:13.3924423682 2:14.732324404 3:0.831563309578 4:6.4902406907 5:0.815647793028 6:0.575402112779 7:0.191599861613 8:0.19615398535 9:0.0660348917248 10:-0.00498334127412 11:-0.100923129686 12:0.141838865512 13:0.12359141274 14:0.0207422941225 15:0.0921163862323 16:0.0804647913306 17:-0.0105103528007
2 1:32.5059832166 2:18.4775775946 3:0.844429166216 4:0.907973713158 5:0.466766324881 6:0.364807050117 7:0.215825381103 8:0.192203864889 9:-0.0106286987271 10:0.11916571367 11:0.0547531484237 12:0.131908649873 13:0.133869999828 14:0.024199655967 15:0.0908785452671 16:0.0879952035609 17:-0.00857213519802
2 1:27.849940301 2:1.85024116298 3:0.792152959742 4:0.0454470066261 5:0.301641586256 6:0.209106421479 7:0.186626145756 8:0.208442233627 9:-0.222118923341 10:0.336750117871 11:0.225288124578 12:0.145288809639 13:0.173326500763 14:-0.245316442684 15:0.142758378115 16:0.106579739584 17:-0.0275129493961
2 1:21.8466096659 2:16.4563737635 3:0.798690654024 4:8.10043818472 5:0.880668032814 6:0.639124373684 7:0.392539658981 8:0.303485793681 9:0.435663554098 10:0.0251748053172 11:0.171837646421 12:0.134345487888 13:0.214899264606 14:0.0397687828444 15:0.125120592564 16:0.0877260372681 17:0.0653326311905
2 1:35.7235463582 2:6.52993092733 3:0.799807820669 4:0.304602072565 5:0.636094324819 6:0.415485282 7:0.215983607815 8:0.171922415229 9:-0.0948463052431 10:-0.0543169575033 11:0.206179233087 12:0.301631001947 13:0.428057053049 14:0.0747868894275 15:0.139294410862 16:0.114879721593 17:-0.0188275120217
